#Organism group,Strain,Isolate identifiers,Isolate,AMR genotypes,AMR genotypes core,AST phenotypes
"E.coli and Shigella",,"""SRS6732506"",""ampC_0161""","PDT000966194.1","acrF=COMPLETE,blaEC-5=COMPLETE","blaEC-5=COMPLETE","cefotaxime=R,cefoxitin=R,ceftazidime=I"
"E.coli and Shigella",,"""SRS6732507"",""ampC_0160""","PDT000966195.1","acrF=COMPLETE,blaEC=COMPLETE,gyrA_S83L=POINT,marR_S3N=POINT","gyrA_S83L=POINT,marR_S3N=POINT","cefotaxime=S,cefoxitin=R,ceftazidime=S"
"E.coli and Shigella",,"""SRS6732505"",""ampC_0159""","PDT000966196.1","acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3'')-Ib=MISTRANSLATION,aph(6)-Id=COMPLETE,blaDHA-1=COMPLETE,blaEC=COMPLETE,dfrA17=COMPLETE,emrD=COMPLETE,gyrA_S83A=POINT,mdtM=COMPLETE,mph(A)=COMPLETE,qnrB4=COMPLETE,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE,uhpT_E350Q=POINT","aph(3'')-Ib=COMPLETE,aph(3'')-Ib=MISTRANSLATION,aph(6)-Id=COMPLETE,blaDHA-1=COMPLETE,dfrA17=COMPLETE,gyrA_S83A=POINT,mph(A)=COMPLETE,qnrB4=COMPLETE,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE,uhpT_E350Q=POINT","cefotaxime=R,cefoxitin=R,ceftazidime=I"
"E.coli and Shigella",,"""SRS6732504"",""ampC_0158""","PDT000966197.1","acrF=COMPLETE,ampC_T-32A=POINT,blaEC-5=COMPLETE,glpT_E448K=POINT,pmrB_E123D=POINT","ampC_T-32A=POINT,glpT_E448K=POINT,pmrB_E123D=POINT","cefotaxime=S,cefoxitin=R,ceftazidime=S"
"E.coli and Shigella",,"""SRS6732503"",""ampC_0157""","PDT000966198.1","acrF=COMPLETE,ampC_T-32A=POINT,blaEC-5=COMPLETE,glpT_E448K=POINT,pmrB_E123D=POINT","ampC_T-32A=POINT,glpT_E448K=POINT,pmrB_E123D=POINT","cefotaxime=S,cefoxitin=R,ceftazidime=S"
"E.coli and Shigella",,"""SRS6732502"",""ampC_0156""","PDT000966199.1","acrF=COMPLETE,blaEC=COMPLETE,cyaA_S352T=POINT,mdtM=COMPLETE","cyaA_S352T=POINT","cefotaxime=I,cefoxitin=R,ceftazidime=I"
"E.coli and Shigella",,"""SRS6732501"",""ampC_0155""","PDT000966200.1","acrF=COMPLETE,ampC_T-32A=POINT,blaEC=COMPLETE,glpT_E448K=POINT,marR_S3N=POINT,mdtM=COMPLETE,pmrB_E123D=POINT","ampC_T-32A=POINT,glpT_E448K=POINT,marR_S3N=POINT,pmrB_E123D=POINT","cefotaxime=S,cefoxitin=R,ceftazidime=S"
"E.coli and Shigella",,"""SRS6732500"",""ampC_0154""","PDT000966201.1","aadA1=COMPLETE,acrF=COMPLETE,ampC_T-32A=POINT,blaEC=COMPLETE,cyaA_S352T=POINT,dfrA1=COMPLETE,glpT_E448K=POINT,gyrA_D87N=POINT,gyrA_S83L=POINT,mdtM=COMPLETE,parC_S80I=POINT,parE_S458A=POINT,sat2=COMPLETE","aadA1=COMPLETE,ampC_T-32A=POINT,cyaA_S352T=POINT,dfrA1=COMPLETE,glpT_E448K=POINT,gyrA_D87N=POINT,gyrA_S83L=POINT,parC_S80I=POINT,parE_S458A=POINT,sat2=COMPLETE","cefotaxime=S,cefoxitin=R,ceftazidime=S"
"E.coli and Shigella",,"""SRS6732498"",""ampC_0153""","PDT000966202.1","acrF=COMPLETE,blaEC-5=COMPLETE","blaEC-5=COMPLETE","cefotaxime=S,cefoxitin=R,ceftazidime=S"
"E.coli and Shigella",,"""SRS6732499"",""ampC_0152""","PDT000966203.1","acrF=COMPLETE,ampC_C-42T=POINT,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE,pmrB_Y358N=POINT","ampC_C-42T=POINT,glpT_E448K=POINT,pmrB_Y358N=POINT","cefotaxime=S,cefoxitin=R,ceftazidime=S"
"E.coli and Shigella",,"""SRS6732497"",""ampC_0016""","PDT000966204.1","acrF=COMPLETE,blaEC=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mdtM=COMPLETE,parC_S80I=POINT","gyrA_D87N=POINT,gyrA_S83L=POINT,parC_S80I=POINT","cefotaxime=S,cefoxitin=R,ceftazidime=S"
"E.coli and Shigella",,"""SRS6732496"",""ampC_0151""","PDT000966205.1","acrF=COMPLETE,ampC_T-32A=POINT,blaEC-5=COMPLETE,glpT_E448K=POINT,marR_S3N=POINT,pmrB_E123D=POINT,uhpT_E350Q=POINT","ampC_T-32A=POINT,glpT_E448K=POINT,marR_S3N=POINT,pmrB_E123D=POINT,uhpT_E350Q=POINT","cefotaxime=I,cefoxitin=R,ceftazidime=I"
"E.coli and Shigella",,"""SRS6732494"",""ampC_0149""","PDT000966207.1","aadA5=COMPLETE,acrF=COMPLETE,ampC_T-32A=POINT,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,dfrA17=COMPLETE,glpT_E448K=POINT,gyrA_D87N=POINT,gyrA_S83L=POINT,mdtM=COMPLETE,mph(A)=COMPLETE,parC_E84V=POINT,parC_S80I=POINT,parE_I529L=POINT,pmrB_E123D=POINT,ptsI_V25I=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE,uhpT_E350Q=POINT","aadA5=COMPLETE,ampC_T-32A=POINT,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,dfrA17=COMPLETE,glpT_E448K=POINT,gyrA_D87N=POINT,gyrA_S83L=POINT,mph(A)=COMPLETE,parC_E84V=POINT,parC_S80I=POINT,parE_I529L=POINT,pmrB_E123D=POINT,ptsI_V25I=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE,uhpT_E350Q=POINT","cefotaxime=S,cefoxitin=R,ceftazidime=S"
"E.coli and Shigella",,"""SRS6732493"",""ampC_0148""","PDT000966208.1","acrF=COMPLETE,blaEC=COMPLETE,gyrA_S83V=POINT,marR_S3N=POINT","gyrA_S83V=POINT,marR_S3N=POINT","cefotaxime=S,cefoxitin=R,ceftazidime=S"
"E.coli and Shigella",,"""SRS6732490"",""ampC_0146""","PDT000966210.1","acrF=COMPLETE,ampC_T-32A=POINT,blaEC=COMPLETE,glpT_E448K=POINT,pmrB_E123D=POINT","ampC_T-32A=POINT,glpT_E448K=POINT,pmrB_E123D=POINT","cefotaxime=R,cefoxitin=R,ceftazidime=I"
"E.coli and Shigella",,"""SRS6732492"",""ampC_0145""","PDT000966211.1","acrF=COMPLETE,ampC_C-42T=POINT,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,dfrA5=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE,pmrB_Y358N=POINT,sul2=COMPLETE,tet(A)=COMPLETE","ampC_C-42T=POINT,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,dfrA5=COMPLETE,glpT_E448K=POINT,pmrB_Y358N=POINT,sul2=COMPLETE,tet(A)=COMPLETE","cefotaxime=R,cefoxitin=R,ceftazidime=I"
"E.coli and Shigella",,"""SRS6732489"",""ampC_0144""","PDT000966212.1","aadA1=COMPLETE,acrF=COMPLETE,ampC_T-32A=POINT,blaEC-5=COMPLETE,glpT_E448K=POINT,pmrB_E123D=POINT,sul1=COMPLETE","aadA1=COMPLETE,ampC_T-32A=POINT,glpT_E448K=POINT,pmrB_E123D=POINT,sul1=COMPLETE","cefotaxime=S,cefoxitin=R,ceftazidime=S"
"E.coli and Shigella",,"""SRS6732488"",""ampC_0143""","PDT000966213.1","acrF=COMPLETE,ampC_T-32A=POINT,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE,pmrB_Y358N=POINT","ampC_T-32A=POINT,glpT_E448K=POINT,pmrB_Y358N=POINT","cefotaxime=I,cefoxitin=R,ceftazidime=I"
"E.coli and Shigella",,"""SRS6732487"",""ampC_0142""","PDT000966214.1","acrF=COMPLETE,blaEC=COMPLETE,marR_S3N=POINT","marR_S3N=POINT","cefotaxime=S,cefoxitin=R,ceftazidime=S"
"E.coli and Shigella",,"""SRS6732486"",""ampC_0015""","PDT000966215.1","aac(3)-IId=COMPLETE,aadA1=COMPLETE,aadA1=PARTIAL_END_OF_CONTIG,aadA2=COMPLETE,aadA2=PARTIAL_END_OF_CONTIG,acrF=COMPLETE,aph(3')-Ia=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,cmlA1=COMPLETE,dfrA12=COMPLETE,floR=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,lnu(F)=COMPLETE,mdtM=COMPLETE,parC_S80I=POINT,parE_L416F=POINT,sul2=COMPLETE,sul3=COMPLETE,tet(A)=COMPLETE,tet(M)=COMPLETE,tet(M)=PARTIAL","aac(3)-IId=COMPLETE,aadA1=COMPLETE,aadA1=PARTIAL_END_OF_CONTIG,aadA2=COMPLETE,aadA2=PARTIAL_END_OF_CONTIG,aph(3')-Ia=COMPLETE,blaTEM-1=COMPLETE,cmlA1=COMPLETE,dfrA12=COMPLETE,floR=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,lnu(F)=COMPLETE,parC_S80I=POINT,parE_L416F=POINT,sul2=COMPLETE,sul3=COMPLETE,tet(A)=COMPLETE,tet(M)=COMPLETE,tet(M)=PARTIAL","cefotaxime=S,cefoxitin=R,ceftazidime=S"
"E.coli and Shigella",,"""SRS6732485"",""ampC_0141""","PDT000966216.1","acrF=COMPLETE,ampC_G-15GG=POINT,blaEC=COMPLETE,glpT_E448K=POINT,marR_S3N=POINT,pmrB_E123D=POINT","ampC_G-15GG=POINT,glpT_E448K=POINT,marR_S3N=POINT,pmrB_E123D=POINT","cefotaxime=S,cefoxitin=R,ceftazidime=S"
"E.coli and Shigella",,"""SRS6732484"",""ampC_0140""","PDT000966217.1","acrF=COMPLETE,blaEC=COMPLETE,marR_S3N=POINT,mdtM=COMPLETE","marR_S3N=POINT","cefotaxime=S,cefoxitin=R,ceftazidime=S"
"E.coli and Shigella",,"""SRS6732483"",""ampC_0139""","PDT000966218.1","acrF=COMPLETE,ampC_C-42T=POINT,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE,pmrB_Y358N=POINT","ampC_C-42T=POINT,glpT_E448K=POINT,pmrB_Y358N=POINT","cefotaxime=I,cefoxitin=R,ceftazidime=I"
"E.coli and Shigella",,"""SRS6732482"",""ampC_0138""","PDT000966219.1","acrF=COMPLETE,ampC_C-42T=POINT,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE,pmrB_Y358N=POINT","ampC_C-42T=POINT,glpT_E448K=POINT,pmrB_Y358N=POINT","cefotaxime=R,cefoxitin=R,ceftazidime=I"
"E.coli and Shigella",,"""SRS6732481"",""ampC_0137""","PDT000966220.1","acrF=COMPLETE,ampC_C-42T=POINT,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE,pmrB_Y358N=POINT","ampC_C-42T=POINT,glpT_E448K=POINT,pmrB_Y358N=POINT","cefotaxime=R,cefoxitin=R,ceftazidime=I"
"E.coli and Shigella",,"""SRS6732480"",""ampC_0136""","PDT000966221.1","acrF=COMPLETE,ampC_C-42T=POINT,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,basR_G53R=POINT,blaEC=COMPLETE,blaTEM-1=COMPLETE,blaTEM=PARTIAL_END_OF_CONTIG,gyrA_D87N=POINT,gyrA_S83L=POINT,mdtM=COMPLETE,parC_S80I=POINT,sul2=COMPLETE,tet(A)=COMPLETE","ampC_C-42T=POINT,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,basR_G53R=POINT,blaTEM-1=COMPLETE,blaTEM=PARTIAL_END_OF_CONTIG,gyrA_D87N=POINT,gyrA_S83L=POINT,parC_S80I=POINT,sul2=COMPLETE,tet(A)=COMPLETE","cefotaxime=R,cefoxitin=R,ceftazidime=R"
"E.coli and Shigella",,"""SRS6732479"",""ampC_0135""","PDT000966222.1","acrF=COMPLETE,ampC_C-42T=POINT,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE,pmrB_Y358N=POINT","ampC_C-42T=POINT,glpT_E448K=POINT,pmrB_Y358N=POINT","cefotaxime=R,cefoxitin=R,ceftazidime=I"
"E.coli and Shigella",,"""SRS6732477"",""ampC_0134""","PDT000966223.1","acrF=COMPLETE,ampC_T-32A=POINT,blaEC=COMPLETE,glpT_E448K=POINT,pmrB_E123D=POINT","ampC_T-32A=POINT,glpT_E448K=POINT,pmrB_E123D=POINT","cefotaxime=R,cefoxitin=R,ceftazidime=I"
"E.coli and Shigella",,"""SRS6732478"",""ampC_0133""","PDT000966224.1","acrF=COMPLETE,ampC_C-42T=POINT,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE,pmrB_Y358N=POINT,uhpT_E350Q=POINT","ampC_C-42T=POINT,glpT_E448K=POINT,pmrB_Y358N=POINT,uhpT_E350Q=POINT","cefotaxime=R,cefoxitin=R,ceftazidime=I"
"E.coli and Shigella",,"""SRS6732475"",""ampC_0132""","PDT000966225.1","acrF=COMPLETE,ampC_C-42T=POINT,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE,pmrB_Y358N=POINT","ampC_C-42T=POINT,glpT_E448K=POINT,pmrB_Y358N=POINT","cefotaxime=S,cefoxitin=R,ceftazidime=S"
