#Organism group,Strain,Isolate identifiers,Isolate,AMR genotypes,AMR genotypes core,AST phenotypes
"Clostridioides difficile","CDI-04","""AR-1070"",""CDI-04"",""SRS6484557""","PDT000888378.1","abc-f=HMM,blaCDD=COMPLETE,blaR1=HMM,vanG=COMPLETE,vanR-Cd=COMPLETE,vanS-Cd=COMPLETE,vanT-Cd=COMPLETE,vanZ1=COMPLETE","abc-f=HMM,blaCDD=COMPLETE,blaR1=HMM","ceftriaxone=ND,clindamycin=ND,meropenem=ND,metronidazole=ND,moxifloxacin=ND,vancomycin=ND"
"Clostridioides difficile","CDI-17","""AR-1083"",""CDI-17"",""SRS6484542""","PDT000888376.2","abc-f=HMM,ant(6)-Ia=COMPLETE,ant(6)-Ib=COMPLETE,blaCDD=COMPLETE,blaR1=HMM,gyrB_S366V=POINT,gyrB_S416A=POINT,spw=COMPLETE,tet(44)=COMPLETE,tet(M)=COMPLETE,vanZ1=COMPLETE","abc-f=HMM,ant(6)-Ia=COMPLETE,ant(6)-Ib=COMPLETE,blaCDD=COMPLETE,blaR1=HMM,gyrB_S366V=POINT,gyrB_S416A=POINT,spw=COMPLETE,tet(44)=COMPLETE,tet(M)=COMPLETE","ceftriaxone=ND,clindamycin=ND,meropenem=ND,metronidazole=ND,moxifloxacin=ND,vancomycin=ND"
"Clostridioides difficile","CDI-11","""AR-1077"",""CDI-11"",""SRS6484536""","PDT000888708.1","abc-f=HMM,ant(6)-Ia=COMPLETE,blaCDD=COMPLETE,blaR1=HMM,gyrB_S366V=POINT,gyrB_S416A=POINT,spw=COMPLETE,tet(M)=COMPLETE,vanZ1=COMPLETE","abc-f=HMM,ant(6)-Ia=COMPLETE,blaCDD=COMPLETE,blaR1=HMM,gyrB_S366V=POINT,gyrB_S416A=POINT,spw=COMPLETE,tet(M)=COMPLETE","ceftriaxone=ND,clindamycin=ND,meropenem=ND,metronidazole=ND,moxifloxacin=ND,vancomycin=ND"
"Clostridioides difficile","CDI-28","""AR-1094"",""CDI-28"",""SRS6484554""","PDT000888379.1","blaCDD=COMPLETE,blaR1=HMM,vanR=HMM,vanZ1=COMPLETE","blaCDD=COMPLETE,blaR1=HMM,vanR=HMM","ceftriaxone=ND,clindamycin=ND,meropenem=ND,metronidazole=ND,moxifloxacin=ND,vancomycin=ND"
"Clostridioides difficile","CDI-09","""AR-1075"",""CDI-09"",""SRS6484562""","PDT000888710.1","blaCDD=COMPLETE,blaR1=HMM,vanR=HMM,vanZ1=COMPLETE","blaCDD=COMPLETE,blaR1=HMM,vanR=HMM","ceftriaxone=ND,clindamycin=ND,meropenem=ND,metronidazole=ND,moxifloxacin=ND,vancomycin=ND"
"Clostridioides difficile","CDI-25","""AR-1091"",""CDI-25"",""SRS6484551""","PDT000888388.1","blaCDD=COMPLETE,blaR1=HMM,gyrB_I139R=POINT,vanG=COMPLETE,vanR-Cd=COMPLETE,vanS-Cd=COMPLETE,vanT-Cd=COMPLETE","blaCDD=COMPLETE,blaR1=HMM,gyrB_I139R=POINT","ceftriaxone=ND,clindamycin=ND,meropenem=ND,metronidazole=ND,moxifloxacin=ND,vancomycin=ND"
"Clostridioides difficile","CDI-30","""AR-1096"",""CDI-30"",""SRS6484556""","PDT000888389.1","blaCDD=COMPLETE,blaR1=HMM,gyrB_I139R=POINT,vanG=COMPLETE,vanR-Cd=COMPLETE,vanS-Cd=COMPLETE,vanT-Cd=COMPLETE","blaCDD=COMPLETE,blaR1=HMM,gyrB_I139R=POINT","ceftriaxone=ND,clindamycin=ND,meropenem=ND,metronidazole=ND,moxifloxacin=ND,vancomycin=ND"
"Clostridioides difficile","CDI-14","""AR-1080"",""CDI-14"",""SRS6484539""","PDT000888702.1","blaCDD=COMPLETE,blaR1=HMM,gyrB_I139R=POINT,vanG=COMPLETE,vanR-Cd=COMPLETE,vanS-Cd=COMPLETE,vanT-Cd=COMPLETE","blaCDD=COMPLETE,blaR1=HMM,gyrB_I139R=POINT","ceftriaxone=ND,clindamycin=ND,meropenem=ND,metronidazole=ND,moxifloxacin=ND,vancomycin=ND"
"Clostridioides difficile","CDI-07","""AR-1073"",""CDI-07"",""SRS6484560""","PDT000888709.1","blaCDD=COMPLETE,blaR1=HMM,gyrB_I139R=POINT,vanG=COMPLETE,vanR-Cd=COMPLETE,vanS-Cd=COMPLETE,vanT-Cd=COMPLETE,vanZ1=COMPLETE","blaCDD=COMPLETE,blaR1=HMM,gyrB_I139R=POINT","ceftriaxone=ND,clindamycin=ND,meropenem=ND,metronidazole=ND,moxifloxacin=ND,vancomycin=ND"
"Clostridioides difficile","CDI-08","""AR-1074"",""CDI-08"",""SRS6484561""","PDT000888712.2","abc-f=HMM,blaCDD=COMPLETE,blaR1=HMM,gyrA_T82I=POINT,vanG=COMPLETE,vanR-Cd=COMPLETE,vanS-Cd=COMPLETE,vanT-Cd=COMPLETE,vanZ1=COMPLETE","abc-f=HMM,blaCDD=COMPLETE,blaR1=HMM,gyrA_T82I=POINT","ceftriaxone=ND,clindamycin=ND,meropenem=ND,metronidazole=ND,moxifloxacin=ND,vancomycin=ND"
