#Organism group,Strain,Isolate identifiers,Isolate,AMR genotypes,AMR genotypes core,AST phenotypes
"Staphylococcus aureus",,"""PC0033"",""PC0033c-S0265"",""SRS11792476""","PDT001516397.1","blaR1=COMPLETE,blaZ=COMPLETE,blaZ=PARTIAL_END_OF_CONTIG,fosB=PARTIAL,mepA=COMPLETE,tet(38)=COMPLETE","blaR1=COMPLETE,blaZ=COMPLETE,blaZ=PARTIAL_END_OF_CONTIG,fosB=PARTIAL,tet(38)=COMPLETE","erythromycin=S,gentamicin=S,nitrofurantoin=S,oxacillin=S,penicillin=S"
"Staphylococcus aureus",,"""PC0267"",""PC0267ai-S0267"",""SRS11792315""","PDT001516158.1","aadD1=COMPLETE,blaI=COMPLETE,blaR1=COMPLETE,blaZ=COMPLETE,fusC=COMPLETE,gyrA_S84L=POINT,mepA=COMPLETE,mupA=COMPLETE,parC_E84K=POINT,tet(38)=COMPLETE","aadD1=COMPLETE,blaI=COMPLETE,blaR1=COMPLETE,blaZ=COMPLETE,fusC=COMPLETE,gyrA_S84L=POINT,mupA=COMPLETE,parC_E84K=POINT,tet(38)=COMPLETE","ciprofloxacin=R,clindamycin=S,erythromycin=S,gentamicin=R,oxacillin=S,penicillin=R"
"Staphylococcus aureus",,"""PC0267"",""PC0267b-S0275"",""SRS11792317""","PDT001516156.1","aadD1=COMPLETE,blaI=COMPLETE,blaR1=COMPLETE,blaZ=COMPLETE,fusC=COMPLETE,mepA=COMPLETE,mupA=COMPLETE,parC_E84K=POINT,tet(38)=COMPLETE","aadD1=COMPLETE,blaI=COMPLETE,blaR1=COMPLETE,blaZ=COMPLETE,fusC=COMPLETE,mupA=COMPLETE,parC_E84K=POINT,tet(38)=COMPLETE","ciprofloxacin=R,clindamycin=S,erythromycin=S,gentamicin=R,oxacillin=S,penicillin=R,vancomycin=S"
"Staphylococcus aureus",,"""PC0060"",""PC0060b-S0276"",""SRS11792392""","PDT001516481.1","blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,fosB=COMPLETE,glpT_A100V=POINT,glpT_V213I=POINT,mepA=COMPLETE,murA_D278E=POINT,murA_E291D=POINT,parC_E84K=POINT,tet(38)=COMPLETE","blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,fosB=COMPLETE,glpT_A100V=POINT,glpT_V213I=POINT,murA_D278E=POINT,murA_E291D=POINT,parC_E84K=POINT,tet(38)=COMPLETE","ciprofloxacin=S,clindamycin=R,erythromycin=R,gentamicin=R,oxacillin=S,penicillin=R,vancomycin=S"
"Staphylococcus aureus",,"""PC0058"",""PC0058aiii-S0224"",""SRS11792383""","PDT001516490.1","aadD1=COMPLETE,blaI=COMPLETE,blaR1=MISTRANSLATION,blaZ=COMPLETE,lnu(A)=COMPLETE,mepA=COMPLETE,tet(38)=COMPLETE,tet(K)=COMPLETE","aadD1=COMPLETE,blaI=COMPLETE,blaR1=MISTRANSLATION,blaZ=COMPLETE,lnu(A)=COMPLETE,tet(38)=COMPLETE,tet(K)=COMPLETE","ciprofloxacin=S,clindamycin=S,erythromycin=S,fusidic acid=S,gentamicin=R,oxacillin=S,penicillin=R,tetracycline=R,vancomycin=S"
"Staphylococcus aureus",,"""PC0058"",""PC0058ai-S0058"",""SRS11792380""","PDT001516493.1","aadD1=COMPLETE,blaI=COMPLETE,blaR1=MISTRANSLATION,blaZ=COMPLETE,lnu(A)=COMPLETE,mepA=COMPLETE,tet(38)=COMPLETE,tet(K)=COMPLETE","aadD1=COMPLETE,blaI=COMPLETE,blaR1=MISTRANSLATION,blaZ=COMPLETE,lnu(A)=COMPLETE,tet(38)=COMPLETE,tet(K)=COMPLETE","ciprofloxacin=S,clindamycin=S,erythromycin=S,fusidic acid=S,gentamicin=R,oxacillin=S,penicillin=R,tetracycline=R,vancomycin=S"
"Staphylococcus aureus",,"""PC0155"",""PC0155c-S0300"",""SRS11792528""","PDT001516345.1","blaR1=COMPLETE,blaZ=COMPLETE,blaZ=PARTIAL_END_OF_CONTIG,fosB=PARTIAL,mepA=COMPLETE,tet(38)=COMPLETE","blaR1=COMPLETE,blaZ=COMPLETE,blaZ=PARTIAL_END_OF_CONTIG,fosB=PARTIAL,tet(38)=COMPLETE","ciprofloxacin=S,clindamycin=S,erythromycin=S,fusidic acid=R,gentamicin=R,oxacillin=S,penicillin=R,rifampin=S,tetracycline=S"
"Staphylococcus aureus",,"""PC0058"",""PC0058aii-S0225"",""SRS11792381""","PDT001516492.1","abc-f=HMM,blaI=COMPLETE,blaZ=COMPLETE,fosB=COMPLETE,mepA=COMPLETE,tet(38)=COMPLETE","abc-f=HMM,blaI=COMPLETE,blaZ=COMPLETE,fosB=COMPLETE,tet(38)=COMPLETE","ciprofloxacin=S,clindamycin=S,erythromycin=S,fusidic acid=S,gentamicin=R,oxacillin=S,penicillin=R,tetracycline=R,vancomycin=S"
"Staphylococcus aureus",,"""PC0059"",""PC0059a-S0059"",""SRS11792387""","PDT001516486.1","abc-f=HMM,ant(9)-Ia=COMPLETE,blaI=COMPLETE,blaI=PARTIAL_END_OF_CONTIG,blaZ=COMPLETE,erm(A)=COMPLETE,fosB=COMPLETE,mepA=COMPLETE,tet(38)=COMPLETE","abc-f=HMM,ant(9)-Ia=COMPLETE,blaI=COMPLETE,blaI=PARTIAL_END_OF_CONTIG,blaZ=COMPLETE,erm(A)=COMPLETE,fosB=COMPLETE,tet(38)=COMPLETE","ciprofloxacin=S,clindamycin=S,erythromycin=R,gentamicin=S,nitrofurantoin=S,oxacillin=S,penicillin=R,rifampin=S,tetracycline=S,vancomycin=S"
"Staphylococcus aureus",,"""PC0177"",""PC0177b-S0274"",""SRS11792544""","PDT001516329.1","blaI=COMPLETE,blaR1=COMPLETE,blaZ=COMPLETE,blaZ=PARTIAL_END_OF_CONTIG,fosB=PARTIAL,mepA=COMPLETE,tet(38)=COMPLETE","blaI=COMPLETE,blaR1=COMPLETE,blaZ=COMPLETE,blaZ=PARTIAL_END_OF_CONTIG,fosB=PARTIAL,tet(38)=COMPLETE","ciprofloxacin=S,clindamycin=S,erythromycin=S,fusidic acid=S,gentamicin=R,oxacillin=S,penicillin=R,rifampin=S,tetracycline=S,vancomycin=S"
