#Organism group,Strain,Isolate identifiers,Isolate,AMR genotypes,AMR genotypes core,AST phenotypes
"Enterococcus faecalis","AR_0780","""AR_0780"",""SRS7620162""","PDT001180093.2","abc-f=HMM,ant(9)-Ia=COMPLETE,erm(A)=HMM,fexA=COMPLETE,gyrA_E87G=POINT,lsa(A)=COMPLETE,optrA=COMPLETE,parC_S80I=POINT","abc-f=HMM,ant(9)-Ia=COMPLETE,erm(A)=HMM,fexA=COMPLETE,gyrA_E87G=POINT,lsa(A)=COMPLETE,optrA=COMPLETE,parC_S80I=POINT","ampicillin=S,daptomycin=S,doxycycline=S,levofloxacin=R,linezolid=R,penicillin=S,quinupristin-dalfopristin=R,rifampin=I,teicoplanin=S,vancomycin=S"
"Enterococcus faecium",,"""AR_0500"",""SRS7920125""","PDT000922894.1","aac(6')-I=COMPLETE,ant(6)-Ia=PARTIAL,aph(3')-IIIa=COMPLETE,dfrF=COMPLETE,erm(B)=COMPLETE,gyrA_S83Y=POINT,msr(C)=COMPLETE,parC_S80R=POINT,sat4=COMPLETE,tet(M)=COMPLETE,vanA=COMPLETE,vanH-A=COMPLETE,vanX-A=COMPLETE,vanY-A=COMPLETE,vanZ-A=COMPLETE","aac(6')-I=COMPLETE,ant(6)-Ia=PARTIAL,aph(3')-IIIa=COMPLETE,dfrF=COMPLETE,erm(B)=COMPLETE,gyrA_S83Y=POINT,msr(C)=COMPLETE,parC_S80R=POINT,sat4=COMPLETE,tet(M)=COMPLETE,vanA=COMPLETE,vanH-A=COMPLETE,vanX-A=COMPLETE,vanY-A=COMPLETE,vanZ-A=COMPLETE","ampicillin=R,daptomycin=S,doxycycline=I,levofloxacin=R,linezolid=S,penicillin=R,quinupristin-dalfopristin=S,rifampin=R,teicoplanin=S,vancomycin=S"
"Enterococcus faecalis",,"""AR_0672"",""SRS7923711""","PDT000923018.1","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=PARTIAL,aph(3')-IIIa=COMPLETE,erm(B)=COMPLETE,erm(B)=PARTIAL_END_OF_CONTIG,lsa(A)=COMPLETE,sat4=COMPLETE,tet(M)=COMPLETE","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=PARTIAL,aph(3')-IIIa=COMPLETE,erm(B)=COMPLETE,erm(B)=PARTIAL_END_OF_CONTIG,lsa(A)=COMPLETE,sat4=COMPLETE,tet(M)=COMPLETE","ampicillin=S,daptomycin=S,delafloxacin=S,doxycycline=I,levofloxacin=S,linezolid=S,penicillin=S,quinupristin-dalfopristin=R,rifampin=I,teicoplanin=S,vancomycin=S"
"Enterococcus faecalis",,"""AR_0673"",""SRS7923710""","PDT000923019.1","lsa(A)=COMPLETE,tet(M)=COMPLETE","lsa(A)=COMPLETE,tet(M)=COMPLETE","ampicillin=S,daptomycin=S,delafloxacin=S,doxycycline=S,levofloxacin=S,linezolid=S,penicillin=S,quinupristin-dalfopristin=R,rifampin=S,teicoplanin=S,vancomycin=S"
"Enterococcus faecalis",,"""AR_0674"",""SRS7923709""","PDT000923020.1","dfrF=COMPLETE,erm(B)=COMPLETE,gyrA_S83I=POINT,lsa(A)=COMPLETE,parC_S80I=POINT","dfrF=COMPLETE,erm(B)=COMPLETE,gyrA_S83I=POINT,lsa(A)=COMPLETE,parC_S80I=POINT","ampicillin=S,daptomycin=NS,delafloxacin=R,doxycycline=S,levofloxacin=R,linezolid=S,penicillin=S,quinupristin-dalfopristin=R,rifampin=I,teicoplanin=S,vancomycin=S"
"Enterococcus faecalis",,"""AR_0675"",""SRS7923708""","PDT000923021.1","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=PARTIAL,aph(3')-IIIa=COMPLETE,erm(B)=COMPLETE,erm(B)=PARTIAL_END_OF_CONTIG,lsa(A)=COMPLETE,sat4=COMPLETE,tet(M)=COMPLETE","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=PARTIAL,aph(3')-IIIa=COMPLETE,erm(B)=COMPLETE,erm(B)=PARTIAL_END_OF_CONTIG,lsa(A)=COMPLETE,sat4=COMPLETE,tet(M)=COMPLETE","ampicillin=S,daptomycin=NS,delafloxacin=S,doxycycline=S,levofloxacin=S,linezolid=S,penicillin=S,quinupristin-dalfopristin=R,rifampin=I,teicoplanin=S,vancomycin=S"
"Enterococcus faecalis",,"""AR_0671"",""SRS7923680""","PDT000923045.1","ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,catA=COMPLETE,erm(B)=COMPLETE,lsa(A)=COMPLETE,sat4=COMPLETE,tet(M)=COMPLETE","ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,catA=COMPLETE,erm(B)=COMPLETE,lsa(A)=COMPLETE,sat4=COMPLETE,tet(M)=COMPLETE","ampicillin=S,daptomycin=S,delafloxacin=S,doxycycline=S,levofloxacin=S,linezolid=S,penicillin=S,quinupristin-dalfopristin=R,rifampin=I,teicoplanin=S,vancomycin=S"
"Enterococcus faecalis",,"""AR_0676"",""SRS7923679""","PDT000923046.1","aac(6')-Ie/aph(2'')-Ia=COMPLETE,dfrS1=COMPLETE,gyrA_S83R=POINT,lsa(A)=COMPLETE,parC_E84A=POINT,parC_S80I=POINT","aac(6')-Ie/aph(2'')-Ia=COMPLETE,dfrS1=COMPLETE,gyrA_S83R=POINT,lsa(A)=COMPLETE,parC_E84A=POINT,parC_S80I=POINT","ampicillin=S,daptomycin=S,delafloxacin=R,doxycycline=S,levofloxacin=R,linezolid=S,penicillin=S,quinupristin-dalfopristin=R,rifampin=I,teicoplanin=S,vancomycin=S"
"Enterococcus faecalis",,"""AR_0677"",""SRS7923678""","PDT000923047.1","erm(B)=COMPLETE,lsa(A)=COMPLETE,tet(M)=COMPLETE","erm(B)=COMPLETE,lsa(A)=COMPLETE,tet(M)=COMPLETE","ampicillin=S,daptomycin=S,delafloxacin=S,doxycycline=S,levofloxacin=S,linezolid=S,penicillin=S,quinupristin-dalfopristin=I,rifampin=S,teicoplanin=S,vancomycin=S"
"Enterococcus faecalis",,"""AR_0679"",""SRS7923676""","PDT000923049.1","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,dfrF=COMPLETE,erm(B)=COMPLETE,gyrA_S83I=POINT,lsa(A)=COMPLETE,parC_S80I=POINT,sat4=COMPLETE,tet(M)=COMPLETE","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,dfrF=COMPLETE,erm(B)=COMPLETE,gyrA_S83I=POINT,lsa(A)=COMPLETE,parC_S80I=POINT,sat4=COMPLETE,tet(M)=COMPLETE","ampicillin=R,daptomycin=NS,delafloxacin=R,doxycycline=I,levofloxacin=R,linezolid=R,penicillin=R,quinupristin-dalfopristin=R,rifampin=R,teicoplanin=R,vancomycin=R"
