#Organism group,Strain,Isolate identifiers,Isolate,AMR genotypes,AMR genotypes core,AST phenotypes
"Klebsiella pneumoniae","BIDMC 16","""BIDMC 16"",""Klebsiella pneumoniae BIDMC 16"",""SRS420819""","PDT000018102.2","aac(3)-IVa=COMPLETE,aac(6')-Ib=COMPLETE,aac(6')-Ib=PARTIAL,aadA1=COMPLETE,aadA2=COMPLETE,aph(3')-Ia=COMPLETE,aph(4)-Ia=COMPLETE,blaKPC-3=COMPLETE,blaKPC=MISTRANSLATION,blaKPC=PARTIAL,blaSHV-11=COMPLETE,blaSHV-12=COMPLETE,blaTEM-1=COMPLETE,blaTEM=PARTIAL,catA1=COMPLETE,cmlA1=COMPLETE,dfrA12=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,gyrA_D87G=POINT,gyrA_S83I=POINT,mph(A)=COMPLETE,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT,pmrB_R256G=POINT,sul1=COMPLETE,sul3=COMPLETE","aac(3)-IVa=COMPLETE,aac(6')-Ib=COMPLETE,aac(6')-Ib=PARTIAL,aadA1=COMPLETE,aadA2=COMPLETE,aph(3')-Ia=COMPLETE,aph(4)-Ia=COMPLETE,blaKPC-3=COMPLETE,blaKPC=MISTRANSLATION,blaKPC=PARTIAL,blaSHV-11=COMPLETE,blaSHV-12=COMPLETE,blaTEM-1=COMPLETE,blaTEM=PARTIAL,catA1=COMPLETE,cmlA1=COMPLETE,dfrA12=COMPLETE,fosA=COMPLETE,gyrA_D87G=POINT,gyrA_S83I=POINT,mph(A)=COMPLETE,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT,pmrB_R256G=POINT,sul1=COMPLETE,sul3=COMPLETE","amikacin=ND,cefazolin=ND,cefuroxime=ND,ciprofloxacin=ND,gentamicin=ND,piperacillin-tazobactam=ND,tobramycin=ND,trimethoprim-sulfamethoxazole=ND"
"Klebsiella pneumoniae","BIDMC 5","""BIDMC 5"",""Klebsiella pneumoniae BIDMC 5"",""SRS420839""","PDT000023565.1","aac(3)-IVa=COMPLETE,aac(6')-Ib=COMPLETE,aadA1=COMPLETE,aadA2=COMPLETE,aph(3')-Ia=COMPLETE,aph(4)-Ia=COMPLETE,blaKPC-3=COMPLETE,blaSHV-12=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,cmlA1=COMPLETE,dfrA12=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,gyrA_D87G=POINT,gyrA_S83I=POINT,mph(A)=COMPLETE,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT,pmrB_R256G=POINT,sul1=COMPLETE,sul3=COMPLETE","aac(3)-IVa=COMPLETE,aac(6')-Ib=COMPLETE,aadA1=COMPLETE,aadA2=COMPLETE,aph(3')-Ia=COMPLETE,aph(4)-Ia=COMPLETE,blaKPC-3=COMPLETE,blaSHV-12=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,cmlA1=COMPLETE,dfrA12=COMPLETE,fosA=COMPLETE,gyrA_D87G=POINT,gyrA_S83I=POINT,mph(A)=COMPLETE,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT,pmrB_R256G=POINT,sul1=COMPLETE,sul3=COMPLETE","amikacin=ND,cefazolin=ND,cefuroxime=ND,ciprofloxacin=ND,gentamicin=ND,piperacillin-tazobactam=ND,tobramycin=ND,trimethoprim-sulfamethoxazole=ND"
"Klebsiella pneumoniae","539559","""539559"",""Kp_539559""","PDT001428969.1","aac(3)-IId=COMPLETE,aac(6')-Ib-cr5=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaNDM-1=COMPLETE,blaOXA-1=COMPLETE,blaSHV-11=COMPLETE,blaTEM-1=COMPLETE,ble=COMPLETE,catB3=PARTIAL_END_OF_CONTIG,dfrA14=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,gyrA_S83I=POINT,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT,pmrB_R256G=POINT,qnrB1=COMPLETE,sul2=COMPLETE,tet(D)=COMPLETE","aac(3)-IId=COMPLETE,aac(6')-Ib-cr5=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaNDM-1=COMPLETE,blaOXA-1=COMPLETE,blaSHV-11=COMPLETE,blaTEM-1=COMPLETE,ble=COMPLETE,catB3=PARTIAL_END_OF_CONTIG,dfrA14=COMPLETE,fosA=COMPLETE,gyrA_S83I=POINT,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT,pmrB_R256G=POINT,qnrB1=COMPLETE,sul2=COMPLETE,tet(D)=COMPLETE","amikacin=S,ampicillin=R,cefepime=R,cefotaxime=R,ceftazidime=R,cefuroxime=R,ciprofloxacin=R,colistin=S,ertapenem=R,gentamicin=R,meropenem=R,sulfamethoxazole=R"
"Klebsiella pneumoniae","184165","""184165"",""Kp_184165""","PDT001428970.1","aac(3)-IId=COMPLETE,aac(6')-Ib-cr5=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaNDM-1=COMPLETE,blaOXA-1=COMPLETE,blaSHV-11=COMPLETE,blaTEM-1=COMPLETE,ble=COMPLETE,catB3=PARTIAL_END_OF_CONTIG,dfrA14=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,gyrA_S83I=POINT,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT,pmrB_R256G=POINT,qnrB1=COMPLETE,sul2=COMPLETE,tet(D)=COMPLETE","aac(3)-IId=COMPLETE,aac(6')-Ib-cr5=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaNDM-1=COMPLETE,blaOXA-1=COMPLETE,blaSHV-11=COMPLETE,blaTEM-1=COMPLETE,ble=COMPLETE,catB3=PARTIAL_END_OF_CONTIG,dfrA14=COMPLETE,fosA=COMPLETE,gyrA_S83I=POINT,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT,pmrB_R256G=POINT,qnrB1=COMPLETE,sul2=COMPLETE,tet(D)=COMPLETE","amikacin=S,ampicillin=R,cefepime=R,cefotaxime=R,ceftazidime=R,cefuroxime=R,ciprofloxacin=R,colistin=S,ertapenem=R,gentamicin=R,meropenem=R,sulfamethoxazole=R"
"Klebsiella pneumoniae","596059-2","""596059-2"",""Kp_596059""","PDT001502778.1","blaOXA-48=COMPLETE,blaSHV-11=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,oqxA=COMPLETE,oqxB=COMPLETE,pmrB_R256G=POINT","blaOXA-48=COMPLETE,blaSHV-11=COMPLETE,fosA=COMPLETE,oqxA=COMPLETE,oqxB=COMPLETE,pmrB_R256G=POINT","amikacin=S,ampicillin=R,cefepime=S,cefotaxime=S,ceftazidime=S,cefuroxime=R,ciprofloxacin=S,colistin=S,ertapenem=R,fosfomycin=S,gentamicin=S,meropenem=R,nitrofurantoin=S"
"Klebsiella pneumoniae","TVGHCRE225","""K. pneumoniae strain TVGHCRE225"",""TVGHCRE225""","PDT000327866.1","aac(3)-IId=COMPLETE,aadA2=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaKPC-2=COMPLETE,blaSHV-11=COMPLETE,blaTEM-1=COMPLETE,dfrA12=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,gyrA_D87G=POINT,gyrA_S83I=POINT,ompK36_D135DGD=POINT,parC_S80I=POINT,pmrB_R256G=POINT,qnrA1=COMPLETE,sul1=COMPLETE,sul1=PARTIAL,sul2=COMPLETE","aac(3)-IId=COMPLETE,aadA2=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaKPC-2=COMPLETE,blaSHV-11=COMPLETE,blaTEM-1=COMPLETE,dfrA12=COMPLETE,fosA=COMPLETE,gyrA_D87G=POINT,gyrA_S83I=POINT,ompK36_D135DGD=POINT,parC_S80I=POINT,pmrB_R256G=POINT,qnrA1=COMPLETE,sul1=COMPLETE,sul1=PARTIAL,sul2=COMPLETE","amikacin=S,cefazolin=R,cefepime=R,cefoxitin=R,ceftriaxone=R,cefuroxime=R,ciprofloxacin=R,colistin=R,ertapenem=R,gentamicin=R,imipenem=R,levofloxacin=R,tigecycline=R"
"E.coli and Shigella","596059-1","""596059-1"",""Ec_596059""","PDT001502776.1","acrF=COMPLETE,blaEC=COMPLETE,blaOXA-48=COMPLETE,cyaA_S352T=POINT,glpT_E448K=POINT,mdtM=COMPLETE","blaOXA-48=COMPLETE,cyaA_S352T=POINT,glpT_E448K=POINT","amikacin=S,ampicillin=R,cefepime=S,cefotaxime=S,ceftazidime=S,cefuroxime=R,ciprofloxacin=S,colistin=S,ertapenem=R,fosfomycin=S,gentamicin=S,meropenem=R,nitrofurantoin=S"
"E.coli and Shigella","30934","""30934"",""EHEC_30934""","PDT000222315.1","acrF=PARTIAL,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE,pmrB_Y358N=POINT","glpT_E448K=POINT,pmrB_Y358N=POINT","amoxicillin-clavulanic acid=S,amoxicillin=S,aztreonam=S,cefalotin=S,cefepime=S,cefotaxime=S,cefoxitin=S,ceftazidime=S,ceftiofur=S,cefuroxime=S,ertapenem=S,piperacillin-tazobactam=S,piperacillin=S,ticarcillin-clavulanic acid=S,ticarcillin=S"
"Enterobacter roggenkampii",,"""0000-0061-6769"",""FH-1"",""SRS1848739""","PDT000168662.3","blaMIR-21=COMPLETE,fosA=COMPLETE,oqxA=COMPLETE,oqxB=COMPLETE","blaMIR-21=COMPLETE,fosA=COMPLETE,oqxA=COMPLETE,oqxB=COMPLETE","amikacin=S,ampicillin-sulbactam=R,ampicillin=R,aztreonam=R,ceftazidime=R,ceftriaxone=R,cefuroxime=R,ciprofloxacin=R,ertapenem=R,gentamicin=S,imipenem=I,levofloxacin=R,meropenem=S,nitrofurantoin=R,piperacillin-tazobactam=S,trimethoprim-sulfamethoxazole=S"
"Klebsiella pneumoniae",,"""0000-0067-4053"",""FH-2"",""SRS2338424""","PDT000222839.2","aac(6')-Ib=COMPLETE,aadA2=COMPLETE,blaSHV-11=COMPLETE,blaSHV-120=COMPLETE,blaSHV-12=COMPLETE,blaSHV-1=COMPLETE,blaSHV-31=COMPLETE,blaSHV-5=COMPLETE,blaTEM-1=COMPLETE,blaTEM=PARTIAL_END_OF_CONTIG,catA1=COMPLETE,dfrA12=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,gyrA_S83I=POINT,mph(A)=COMPLETE,oqxA=COMPLETE,oqxB=MISTRANSLATION,parC_S80I=POINT,pmrB_R256G=POINT,sul1=COMPLETE,tet(D)=COMPLETE","aac(6')-Ib=COMPLETE,aadA2=COMPLETE,blaSHV-11=COMPLETE,blaSHV-120=COMPLETE,blaSHV-12=COMPLETE,blaSHV-1=COMPLETE,blaSHV-31=COMPLETE,blaSHV-5=COMPLETE,blaTEM-1=COMPLETE,blaTEM=PARTIAL_END_OF_CONTIG,catA1=COMPLETE,dfrA12=COMPLETE,fosA=COMPLETE,gyrA_S83I=POINT,mph(A)=COMPLETE,oqxA=COMPLETE,oqxB=MISTRANSLATION,parC_S80I=POINT,pmrB_R256G=POINT,sul1=COMPLETE,tet(D)=COMPLETE","amikacin=R,ampicillin-sulbactam=R,ampicillin=R,aztreonam=R,ceftazidime=R,ceftriaxone=R,cefuroxime=R,ciprofloxacin=R,ertapenem=R,gentamicin=S,imipenem=R,levofloxacin=R,meropenem=I,nitrofurantoin=R,piperacillin-tazobactam=R,trimethoprim-sulfamethoxazole=R"
